Airline,Aircraft,Day,Time,Price ( AUD )
Quantas,QF464,5 Oct 2024,4:15 PM,
Quantas,QF466,5 Oct 2024,4:30 PM,
Quantas,QF470,5 Oct 2024,5:00 PM,320
Quantas,QF472,5 Oct 2024,5:15 PM,
Quantas,QF478,5 Oct 2024,6:00 PM,320
Quantas,QF498,5 Oct 2024,9:00 PM,320
Quantas,QF402,6 Oct 2024,6:00 AM,270
Quantas,QF406,6 Oct 2024,6:30 AM,
Quantas,QF410,6 Oct 2024,7:00 AM,270
Quantas,QF414,6 Oct 2024,7:30 AM,
Quantas,QF418,6 Oct 2024,8:00 AM,270
Quantas,QF422,6 Oct 2024,8:30 AM,270
Quantas,QF426,6 Oct 2024,9:00 AM,320
Quantas,QF430,6 Oct 2024,9:30 AM,320
Quantas,QF432,6 Oct 2024,10:00 AM,320
Quantas,QF436,6 Oct 2024,11:00 AM,375
Quantas,QF440,6 Oct 2024,12:00 PM,436
Quantas,QF444,6 Oct 2024,1:00 PM,436
Quantas,QF448,6 Oct 2024,2:00 PM,270
Quantas,QF454,6 Oct 2024,3:00 PM,270
Quantas,QF462,6 Oct 2024,4:00 PM,270
Quantas,QF464,6 Oct 2024,4:15 PM,270
Quantas,QF466,6 Oct 2024,4:30 PM,270
Quantas,QF470,6 Oct 2024,5:00 PM,270
Quantas,QF472,6 Oct 2024,5:15 PM,270
Quantas,QF478,6 Oct 2024,6:00 PM,270
Quantas,QF498,6 Oct 2024,9:00 PM,215
Virgin Australia,VA803,22 Sep 2024,6:00 AM,
Virgin Australia,VA811,22 Sep 2024,7:00 AM,
Virgin Australia,VA815,22 Sep 2024,7:30 AM,
Virgin Australia,VA819,22 Sep 2024,8:00 AM,782
Virgin Australia,VA823,22 Sep 2024,8:30 AM,670
