Airline,Aircraft,Day,Scheduled Time,Actual Time
Jetstar,JQ532,19 Aug 2024,8:50 PM,8:54 PM
Jetstar,JQ532,20 Aug 2024,8:50 PM,9:08 PM
Jetstar,JQ532,21 Aug 2024,8:50 PM,9:17 PM
Jetstar,JQ532,22 Aug 2024,8:50 PM,9:09 PM
Jetstar,JQ532,23 Aug 2024,8:50 PM,9:09 PM
Jetstar,JQ532,24 Aug 2024,8:50 PM,8:51 PM
Jetstar,JQ532,25 Aug 2024,8:50 PM,9:43 PM
Jetstar,JQ532,26 Aug 2024,8:50 PM,8:54 PM
Jetstar,JQ532,27 Aug 2024,8:50 PM,9:19 PM
Jetstar,JQ532,28 Aug 2024,8:50 PM,
Jetstar,JQ532,29 Aug 2024,8:50 PM,9:25 PM
Jetstar,JQ532,30 Aug 2024,8:50 PM,9:35 PM
Jetstar,JQ532,31 Aug 2024,8:50 PM,9:05 PM
Quantas,QF402,1 Aug 2024,6:00 AM,6:50 AM
Quantas,QF402,02 Aug 2024,6:00 AM,6:06 AM
Quantas,QF402,03 Aug 2024,6:00 AM,6:07 AM
Quantas,QF402,04 Aug 2024,6:00 AM,6:18 AM
Quantas,QF402,05 Aug 2024,6:00 AM,6:09 AM
Quantas,QF402,06 Aug 2024,6:00 AM,6:14 AM
Quantas,QF402,07 Aug 2024,6:00 AM,6:09 AM
Quantas,QF402,08 Aug 2024,6:00 AM,6:11 AM
Quantas,QF402,09 Aug 2024,6:00 AM,6:14 AM
Quantas,QF402,10 Aug 2024,6:00 AM,6:06 AM
Quantas,QF402,11 Aug 2024,6:00 AM,6:25 AM
Quantas,QF402,12 Aug 2024,6:00 AM,6:05 AM
Quantas,QF402,13 Aug 2024,6:00 AM,
Quantas,QF402,14 Aug 2024,6:00 AM,6:14 AM
Quantas,QF402,15 Aug 2024,6:00 AM,6:10 AM
Quantas,QF402,16 Aug 2024,6:00 AM,6:13 AM
Quantas,QF402,17 Aug 2024,6:00 AM,6:30 AM
Quantas,QF402,18 Aug 2024,6:00 AM,6:06 AM
Quantas,QF402,19 Aug 2024,6:00 AM,6:03 AM
Quantas,QF402,20 Aug 2024,6:00 AM,6:07 AM
Quantas,QF402,21 Aug 2024,6:00 AM,6:04 AM
Quantas,QF402,22 Aug 2024,6:00 AM,6:04 AM
Quantas,QF402,23 Aug 2024,6:00 AM,6:09 AM
Quantas,QF402,24 Aug 2024,6:00 AM,6:14 AM
Quantas,QF402,25 Aug 2024,6:00 AM,6:09 AM
Quantas,QF402,26 Aug 2024,6:00 AM,6:05 AM
Quantas,QF402,27 Aug 2024,6:00 AM,6:08 AM
Quantas,QF402,28 Aug 2024,6:00 AM,6:09 AM
Quantas,QF402,29 Aug 2024,6:00 AM,6:02 AM
Quantas,QF402,30 Aug 2024,6:00 AM,6:07 AM
Quantas,QF402,31 Aug 2024,6:00 AM,6:11 AM
Quantas,QF406,1 Aug 2024,6:30 AM,7:04 AM
Quantas,QF406,02 Aug 2024,6:30 AM,6:42 AM
Quantas,QF406,03 Aug 2024,6:30 AM,6:50 AM
Quantas,QF406,04 Aug 2024,6:30 AM,
